AvgSa(0.6s) (g),DS1,DS2,DS3,DS4,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,2.7129062104438183e-25,2.7129062104438183e-25,2.7129062104438183e-25,2.7129062104438183e-25,7.510888382592148e-18,7.510888382592148e-18,7.510888382592148e-18,2.4549594225997617e-12,2.4549594225997617e-12,2.4353056642073276e-08
0.001009671904360419,2.915621758044111e-25,2.915621758044111e-25,2.915621758044111e-25,2.915621758044111e-25,7.510888405586812e-18,7.510888405586812e-18,7.510888405586812e-18,2.4549594225997868e-12,2.4549594225997868e-12,2.4353056642073276e-08
0.001019437354454795,3.1334847490320985e-25,3.1334847490320985e-25,3.1334847490320985e-25,3.1334847490320985e-25,7.510888430299696e-18,7.510888430299696e-18,7.510888430299696e-18,2.454959422599814e-12,2.454959422599814e-12,2.4353056642073276e-08
0.0010292972550485203,3.367627040553961e-25,3.367627040553961e-25,3.367627040553961e-25,3.367627040553961e-25,7.510888456859193e-18,7.510888456859193e-18,7.510888456859193e-18,2.4549594225998425e-12,2.4549594225998425e-12,2.4353056642073276e-08
0.0010392525196577912,3.6192650651238177e-25,3.6192650651238177e-25,3.6192650651238177e-25,3.6192650651238177e-25,7.510888485403287e-18,7.510888485403287e-18,7.510888485403287e-18,2.4549594225998736e-12,2.4549594225998736e-12,2.4353056642073276e-08
0.0010493040706342459,3.8897061503197396e-25,3.8897061503197396e-25,3.8897061503197396e-25,3.8897061503197396e-25,7.510888516080271e-18,7.510888516080271e-18,7.510888516080271e-18,2.454959422599907e-12,2.454959422599907e-12,2.4353056642073276e-08
0.0010594528392504174,4.180355310703805e-25,4.180355310703805e-25,4.180355310703805e-25,4.180355310703805e-25,7.51088854904952e-18,7.51088854904952e-18,7.51088854904952e-18,2.4549594225999427e-12,2.4549594225999427e-12,2.4353056642073276e-08
0.0010696997657860217,4.492722547252863e-25,4.492722547252863e-25,4.492722547252863e-25,4.492722547252863e-25,7.51088858448232e-18,7.51088858448232e-18,7.51088858448232e-18,2.4549594225999814e-12,2.4549594225999814e-12,2.4353056642073276e-08
0.0010800457996150668,4.828430692221669e-25,4.828430692221669e-25,4.828430692221669e-25,4.828430692221669e-25,7.510888622562751e-18,7.510888622562751e-18,7.510888622562751e-18,2.454959422600023e-12,2.454959422600023e-12,2.4353056642073276e-08
0.001090491899293816,5.1892238401954975e-25,5.1892238401954975e-25,5.1892238401954975e-25,5.1892238401954975e-25,7.510888663488653e-18,7.510888663488653e-18,7.510888663488653e-18,2.4549594226000675e-12,2.4549594226000675e-12,2.4353056642073276e-08
0.0011010390326495973,5.576976409132824e-25,5.576976409132824e-25,5.576976409132824e-25,5.576976409132824e-25,7.510888707472648e-18,7.510888707472648e-18,7.510888707472648e-18,2.454959422600115e-12,2.454959422600115e-12,2.4353056642073276e-08
