im (g),DS1,DS2,DS3,DS4,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,9.908730909615404e-14,9.908730909615404e-14,9.908730909615404e-14,9.908730909615404e-14,2.603959654912028e-07,2.603959654912028e-07,2.603959654912028e-07,4.386500212687185e-05,4.386500212687185e-05,0.0012781387744176154
0.001009671904360419,1.0347968465179043e-13,1.0347968465179043e-13,1.0347968465179043e-13,1.0347968465179043e-13,2.60395970155356e-07,2.60395970155356e-07,2.60395970155356e-07,4.3865002131779895e-05,4.3865002131779895e-05,0.0012781387744228176
0.001019437354454795,1.0806676690798877e-13,1.0806676690798877e-13,1.0806676690798877e-13,1.0806676690798877e-13,2.6039597502626335e-07,2.6039597502626335e-07,2.6039597502626335e-07,4.3865002136905515e-05,4.3865002136905515e-05,0.0012781387744282503
0.0010292972550485203,1.1285718688884308e-13,1.1285718688884308e-13,1.1285718688884308e-13,1.1285718688884308e-13,2.603959801130899e-07,2.603959801130899e-07,2.603959801130899e-07,4.3865002142258336e-05,4.3865002142258336e-05,0.001278138774433924
0.0010392525196577912,1.1785995821738284e-13,1.1785995821738284e-13,1.1785995821738284e-13,1.1785995821738284e-13,2.603959854254071e-07,2.603959854254071e-07,2.603959854254071e-07,4.386500214784845e-05,4.386500214784845e-05,0.0012781387744398491
0.0010493040706342459,1.23084494075552e-13,1.23084494075552e-13,1.23084494075552e-13,1.23084494075552e-13,2.603959909732104e-07,2.603959909732104e-07,2.603959909732104e-07,4.3865002153686356e-05,4.3865002153686356e-05,0.001278138774446037
0.0010594528392504174,1.2854062491598683e-13,1.2854062491598683e-13,1.2854062491598683e-13,1.2854062491598683e-13,2.603959967669386e-07,2.603959967669386e-07,2.603959967669386e-07,4.386500215978305e-05,4.386500215978305e-05,0.0012781387744524992
0.0010696997657860217,1.3423861695893658e-13,1.3423861695893658e-13,1.3423861695893658e-13,1.3423861695893658e-13,2.6039600281749313e-07,2.6039600281749313e-07,2.6039600281749313e-07,4.386500216614999e-05,4.386500216614999e-05,0.0012781387744592477
0.0010800457996150668,1.401891915091111e-13,1.401891915091111e-13,1.401891915091111e-13,1.401891915091111e-13,2.603960091362587e-07,2.603960091362587e-07,2.603960091362587e-07,4.386500217279918e-05,4.386500217279918e-05,0.0012781387744662954
0.001090491899293816,1.4640354512882073e-13,1.4640354512882073e-13,1.4640354512882073e-13,1.4640354512882073e-13,2.603960157351247e-07,2.603960157351247e-07,2.603960157351247e-07,4.386500217974311e-05,4.386500217974311e-05,0.0012781387744736556
0.0011010390326495973,1.528933707053558e-13,1.528933707053558e-13,1.528933707053558e-13,1.528933707053558e-13,2.6039602262650734e-07,2.6039602262650734e-07,2.6039602262650734e-07,4.3865002186994856e-05,4.3865002186994856e-05,0.001278138774481342
0.0011116881768704725,1.596708794522457e-13,1.596708794522457e-13,1.596708794522457e-13,1.596708794522457e-13,2.6039602982337354e-07,2.6039602982337354e-07,2.6039602982337354e-07,4.3865002194568055e-05,4.3865002194568055e-05,0.0012781387744893692
0.001122440318595772,1.6674882388579965e-13,1.6674882388579965e-13,1.6674882388579965e-13,1.6674882388579965e-13,2.6039603733926486e-07,2.6039603733926486e-07,2.6039603733926486e-07,4.3865002202476965e-05,4.3865002202476965e-05,0.001278138774497752
0.0011332964540075085,1.7414052182015685e-13,1.7414052182015685e-13,1.7414052182015685e-13,1.7414052182015685e-13,2.603960451883231e-07,2.603960451883231e-07,2.603960451883231e-07,4.3865002210736464e-05,4.3865002210736464e-05,0.0012781387745065067
0.0011442575889226711,1.8185988142599956e-13,1.8185988142599956e-13,1.8185988142599956e-13,1.8185988142599956e-13,2.603960533853171e-07,2.603960533853171e-07,2.603960533853171e-07,4.386500221936209e-05,4.386500221936209e-05,0.0012781387745156494
0.0011553247388864148,1.8992142740007856e-13,1.8992142740007856e-13,1.8992142740007856e-13,1.8992142740007856e-13,2.6039606194567013e-07,2.6039606194567013e-07,2.6039606194567013e-07,4.3865002228370084e-05,4.3865002228370084e-05,0.0012781387745251973
0.001166498929266149,1.9834032829478294e-13,1.9834032829478294e-13,1.9834032829478294e-13,1.9834032829478294e-13,2.603960708854894e-07,2.603960708854894e-07,2.603960708854894e-07,4.386500223777738e-05,4.386500223777738e-05,0.0012781387745351683
0.0011777811953465423,2.0713242505919648e-13,2.0713242505919648e-13,2.0713242505919648e-13,2.0713242505919648e-13,2.60396080221596e-07,2.60396080221596e-07,2.60396080221596e-07,4.386500224760169e-05,4.386500224760169e-05,0.0012781387745455816
0.001189172582425434,2.1631426084531849e-13,2.1631426084531849e-13,2.1631426084531849e-13,2.1631426084531849e-13,2.6039608997155667e-07,2.6039608997155667e-07,2.6039608997155667e-07,4.386500225786149e-05,4.386500225786149e-05,0.0012781387745564564
0.0012006741459106851,2.259031121355511e-13,2.259031121355511e-13,2.259031121355511e-13,2.259031121355511e-13,2.6039610015371686e-07,2.6039610015371686e-07,2.6039610015371686e-07,4.3865002268576095e-05,4.3865002268576095e-05,0.0012781387745678132
0.001212286951417961,2.3591702125002084e-13,2.3591702125002084e-13,2.3591702125002084e-13,2.3591702125002084e-13,2.603961107872353e-07,2.603961107872353e-07,2.603961107872353e-07,4.386500227976566e-05,4.386500227976566e-05,0.0012781387745796735
0.0012240120748694594,2.4637483029488397e-13,2.4637483029488397e-13,2.4637483029488397e-13,2.4637483029488397e-13,2.6039612189211986e-07,2.6039612189211986e-07,2.6039612189211986e-07,4.386500229145123e-05,4.386500229145123e-05,0.0012781387745920594
0.0012358506025935947,2.5729621661551774e-13,2.5729621661551774e-13,2.5729621661551774e-13,2.5729621661551774e-13,2.6039613348926553e-07,2.6039613348926553e-07,2.6039613348926553e-07,4.386500230365481e-05,4.386500230365481e-05,0.0012781387746049944
0.001247803631425646,2.6870172982127904e-13,2.6870172982127904e-13,2.6870172982127904e-13,2.6870172982127904e-13,2.603961456004934e-07,2.603961456004934e-07,2.603961456004934e-07,4.386500231639936e-05,4.386500231639936e-05,0.0012781387746185029
0.0012598722688093784,2.8061283045151814e-13,2.8061283045151814e-13,2.8061283045151814e-13,2.8061283045151814e-13,2.603961582485918e-07,2.603961582485918e-07,2.603961582485918e-07,4.386500232970885e-05,4.386500232970885e-05,0.00127813877463261
0.0012720576328996466,2.930519303555915e-13,2.930519303555915e-13,2.930519303555915e-13,2.930519303555915e-13,2.6039617145735937e-07,2.6039617145735937e-07,2.6039617145735937e-07,4.386500234360832e-05,4.386500234360832e-05,0.0012781387746473426
0.001284360852665993,3.0604243486284993e-13,3.0604243486284993e-13,3.0604243486284993e-13,3.0604243486284993e-13,2.6039618525164963e-07,2.6039618525164963e-07,2.6039618525164963e-07,4.386500235812394e-05,4.386500235812394e-05,0.0012781387746627283
0.0012967830679972432,3.196087868219495e-13,3.196087868219495e-13,3.196087868219495e-13,3.196087868219495e-13,2.603961996574178e-07,2.603961996574178e-07,2.603961996574178e-07,4.386500237328301e-05,4.386500237328301e-05,0.001278138774678796
0.0013093254298071233,3.337765125923681e-13,3.337765125923681e-13,3.337765125923681e-13,3.337765125923681e-13,2.603962147017697e-07,2.603962147017697e-07,2.603962147017697e-07,4.3865002389114054e-05,4.3865002389114054e-05,0.001278138774695576
0.001321989100140882,3.485722700746217e-13,3.485722700746217e-13,3.485722700746217e-13,3.485722700746217e-13,2.6039623041301275e-07,2.6039623041301275e-07,2.6039623041301275e-07,4.386500240564686e-05,4.386500240564686e-05,0.0012781387747130997
0.001334775252282961,3.640238988696101e-13,3.640238988696101e-13,3.640238988696101e-13,3.640238988696101e-13,2.6039624682070903e-07,2.6039624682070903e-07,2.6039624682070903e-07,4.3865002422912546e-05,4.3865002422912546e-05,0.0012781387747314002
0.0013476850708656958,3.801604726614166e-13,3.801604726614166e-13,3.801604726614166e-13,3.801604726614166e-13,2.6039626395573123e-07,2.6039626395573123e-07,2.6039626395573123e-07,4.386500244094359e-05,4.386500244094359e-05,0.001278138774750512
0.0013607197519790734,3.9701235392217884e-13,3.9701235392217884e-13,3.9701235392217884e-13,3.9701235392217884e-13,2.603962818503204e-07,2.603962818503204e-07,2.603962818503204e-07,4.3865002459773915e-05,4.3865002459773915e-05,0.0012781387747704711
0.001373880503281548,4.146112510418953e-13,4.146112510418953e-13,4.146112510418953e-13,4.146112510418953e-13,2.60396300538147e-07,2.60396300538147e-07,2.60396300538147e-07,4.3865002479438964e-05,4.3865002479438964e-05,0.0012781387747913147
0.0013871685441119313,4.329902779907478e-13,4.329902779907478e-13,4.329902779907478e-13,4.329902779907478e-13,2.6039632005437377e-07,2.6039632005437377e-07,2.6039632005437377e-07,4.3865002499975725e-05,4.3865002499975725e-05,0.0012781387748130825
0.0014005851056023634,4.5218401662612194e-13,4.5218401662612194e-13,4.5218401662612194e-13,4.5218401662612194e-13,2.6039634043572247e-07,2.6039634043572247e-07,2.6039634043572247e-07,4.386500252142285e-05,4.386500252142285e-05,0.0012781387748358151
0.001414131430792377,4.722285817616022e-13,4.722285817616022e-13,4.722285817616022e-13,4.722285817616022e-13,2.603963617205424e-07,2.603963617205424e-07,2.603963617205424e-07,4.3865002543820685e-05,4.3865002543820685e-05,0.0012781387748595555
0.0014278087747440617,4.931616891203715e-13,4.931616891203715e-13,4.931616891203715e-13,4.931616891203715e-13,2.6039638394888303e-07,2.6039638394888303e-07,2.6039638394888303e-07,4.3865002567211385e-05,4.3865002567211385e-05,0.0012781387748843482
0.0014416184046583532,5.150227263008823e-13,5.150227263008823e-13,5.150227263008823e-13,5.150227263008823e-13,2.60396407162569e-07,2.60396407162569e-07,2.60396407162569e-07,4.3865002591638954e-05,4.3865002591638954e-05,0.00127813877491024
0.0014555615999924285,5.378528268882809e-13,5.378528268882809e-13,5.378528268882809e-13,5.378528268882809e-13,2.6039643140527906e-07,2.6039643140527906e-07,2.6039643140527906e-07,4.386500261714936e-05,4.386500261714936e-05,0.0012781387749372793
