AvgSa(0.6s) (g),DS1,DS2,DS3,DS4,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,1.0426355896064933e-12,1.0426355896064933e-12,1.0426355896064933e-12,1.0426355896064933e-12,1.1026268233819215e-12,1.1026268233819215e-12,1.1026268233819215e-12,1.2174624694296108e-12,1.2174624694296108e-12,1.3913716783764807e-12
0.001009671904360419,1.0813342183218995e-12,1.0813342183218995e-12,1.0813342183218995e-12,1.0813342183218995e-12,1.1435520962913247e-12,1.1435520962913247e-12,1.1435520962913247e-12,1.262650000479718e-12,1.262650000479718e-12,1.4427756006988613e-12
0.001019437354454795,1.1214691915083559e-12,1.1214691915083559e-12,1.1214691915083559e-12,1.1214691915083559e-12,1.1859963581525567e-12,1.1859963581525567e-12,1.1859963581525567e-12,1.3095147191341075e-12,1.3095147191341075e-12,1.4960874391947316e-12
0.0010292972550485203,1.1630938207561689e-12,1.1630938207561689e-12,1.1630938207561689e-12,1.1630938207561689e-12,1.2300159880016444e-12,1.2300159880016444e-12,1.2300159880016444e-12,1.3581188761552034e-12,1.3581188761552034e-12,1.5513780083848627e-12
0.0010392525196577912,1.206263396377128e-12,1.206263396377128e-12,1.206263396377128e-12,1.206263396377128e-12,1.2756694574479012e-12,1.2756694574479012e-12,1.2756694574479012e-12,1.40852703281465e-12,1.40852703281465e-12,1.608720751153066e-12
0.0010493040706342459,1.251035260847051e-12,1.251035260847051e-12,1.251035260847051e-12,1.251035260847051e-12,1.323017408342216e-12,1.323017408342216e-12,1.323017408342216e-12,1.4608061466505443e-12,1.4608061466505443e-12,1.6681918363009383e-12
0.0010594528392504174,1.2974688849742097e-12,1.2974688849742097e-12,1.2974688849742097e-12,1.2974688849742097e-12,1.3721227333280606e-12,1.3721227333280606e-12,1.3721227333280606e-12,1.5150256604076173e-12,1.5150256604076173e-12,1.7298702597234337e-12
0.0010696997657860217,1.3456259468949004e-12,1.3456259468949004e-12,1.3456259468949004e-12,1.3456259468949004e-12,1.4230506593823145e-12,1.4230506593823145e-12,1.4230506593823145e-12,1.5712575942786136e-12,1.5712575942786136e-12,1.7938379493397675e-12
0.0010800457996150668,1.395570414000944e-12,1.395570414000944e-12,1.395570414000944e-12,1.395570414000944e-12,1.4758688344567128e-12,1.4758688344567128e-12,1.4758688344567128e-12,1.629576641569214e-12,1.629576641569214e-12,1.8601798739188456e-12
0.001090491899293816,1.4473686279080594e-12,1.4473686279080594e-12,1.4473686279080594e-12,1.4473686279080594e-12,1.5306474173351373e-12,1.5306474173351373e-12,1.5306474173351373e-12,1.690060267913725e-12,1.690060267913725e-12,1.928984155943929e-12
0.0011010390326495973,1.5010893925779587e-12,1.5010893925779587e-12,1.5010893925779587e-12,1.5010893925779587e-12,1.5874591708260843e-12,1.5874591708260843e-12,1.5874591708260843e-12,1.7527888141732937e-12,1.7527888141732937e-12,2.000342188666424e-12
0.0011116881768704725,1.5568040657111785e-12,1.5568040657111785e-12,1.5568040657111785e-12,1.5568040657111785e-12,1.6463795584140645e-12,1.6463795584140645e-12,1.6463795584140645e-12,1.8178456031532933e-12,1.8178456031532933e-12,2.0743487575042447e-12
