AvgSa(0.6s) (g),DS1,DS2,DS3,DS4,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,5.171980410372806e-15,5.171980410372806e-15,5.171980410372806e-15,5.171980410372806e-15,5.490400286020707e-15,5.490400286020707e-15,5.490400286020707e-15,6.057595665960314e-15,6.057595665960314e-15,4.748543921159036e-13
0.001009671904360419,5.3996512833498125e-15,5.3996512833498125e-15,5.3996512833498125e-15,5.3996512833498125e-15,5.732088020105035e-15,5.732088020105035e-15,5.732088020105035e-15,6.324251232063124e-15,6.324251232063124e-15,4.751573764494393e-13
0.001019437354454795,5.6373442411548965e-15,5.6373442411548965e-15,5.6373442411548965e-15,5.6373442411548965e-15,5.984414862043725e-15,5.984414862043725e-15,5.984414862043725e-15,6.60264499141137e-15,6.60264499141137e-15,4.754736981706371e-13
0.0010292972550485203,5.885500456534513e-15,5.885500456534513e-15,5.885500456534513e-15,5.885500456534513e-15,6.247849145972085e-15,6.247849145972085e-15,6.247849145972085e-15,6.893293659942042e-15,6.893293659942042e-15,4.758039443920635e-13
0.0010392525196577912,6.144580522684492e-15,6.144580522684492e-15,6.144580522684492e-15,6.144580522684492e-15,6.5228798221206775e-15,6.5228798221206775e-15,6.5228798221206775e-15,7.196736699457042e-15,7.196736699457042e-15,4.761487280710137e-13
0.0010493040706342459,6.415065308139527e-15,6.415065308139527e-15,6.415065308139527e-15,6.415065308139527e-15,6.8100173643372226e-15,6.8100173643372226e-15,6.8100173643372226e-15,7.513537318897693e-15,7.513537318897693e-15,4.765086891471979e-13
0.0010594528392504174,6.697456849294476e-15,6.697456849294476e-15,6.697456849294476e-15,6.697456849294476e-15,7.109794717557167e-15,7.109794717557167e-15,7.109794717557167e-15,7.844283519694856e-15,7.844283519694856e-15,4.768844957305089e-13
0.0010696997657860217,6.9922792822152526e-15,6.9922792822152526e-15,6.9922792822152526e-15,6.9922792822152526e-15,7.422768286982747e-15,7.422768286982747e-15,7.422768286982747e-15,8.189589187136283e-15,8.189589187136283e-15,4.772768453410754e-13
0.0010800457996150668,7.300079815467124e-15,7.300079815467124e-15,7.300079815467124e-15,7.300079815467124e-15,7.749518970804766e-15,7.749518970804766e-15,7.749518970804766e-15,8.55009522977492e-15,8.55009522977492e-15,4.776864662039016e-13
0.001090491899293816,7.621429745767695e-15,7.621429745767695e-15,7.621429745767695e-15,7.621429745767695e-15,8.090653238385606e-15,8.090653238385606e-15,8.090653238385606e-15,8.926470768994869e-15,8.926470768994869e-15,4.781141186004981e-13
0.0011010390326495973,7.956925518348701e-15,7.956925518348701e-15,7.956925518348701e-15,7.956925518348701e-15,8.446804255903618e-15,8.446804255903618e-15,8.446804255903618e-15,9.319414380941767e-15,9.319414380941767e-15,4.785605962800111e-13
0.0011116881768704725,8.307189833995032e-15,8.307189833995032e-15,8.307189833995032e-15,8.307189833995032e-15,8.818633061548463e-15,8.818633061548463e-15,8.818633061548463e-15,9.72965539312306e-15,9.72965539312306e-15,4.790267279324695e-13
0.001122440318595772,8.672872804815688e-15,8.672872804815688e-15,8.672872804815688e-15,8.672872804815688e-15,9.206829792448669e-15,9.206829792448669e-15,9.206829792448669e-15,1.0157955238084726e-14,1.0157955238084726e-14,4.795133787268845e-13
0.0011332964540075085,9.054653160891823e-15,9.054653160891823e-15,9.054653160891823e-15,9.054653160891823e-15,9.612114965608559e-15,9.612114965608559e-15,9.612114965608559e-15,1.060510886667689e-14,1.060510886667689e-14,4.800214519170567e-13
0.0011442575889226711,9.453239510041518e-15,9.453239510041518e-15,9.453239510041518e-15,9.453239510041518e-15,1.0035240815232125e-14,1.0035240815232125e-14,1.0035240815232125e-14,1.1071946223531488e-14,1.1071946223531488e-14,4.805518905180705e-13
0.0011553247388864148,9.869371653039473e-15,9.869371653039473e-15,9.869371653039473e-15,9.869371653039473e-15,1.0476992688915979e-14,1.0476992688915979e-14,1.0476992688915979e-14,1.1559333787490545e-14,1.1559333787490545e-14,4.811056790565882e-13
0.001166498929266149,1.0303821956732723e-14,1.0303821956732723e-14,1.0303821956732723e-14,1.0303821956732723e-14,1.0938190505302771e-14,1.0938190505302771e-14,1.0938190505302771e-14,1.2068176179844184e-14,1.2068176179844184e-14,4.816838453981919e-13
0.0011777811953465423,1.0757396787600941e-14,1.0757396787600941e-14,1.0757396787600941e-14,1.0757396787600941e-14,1.141969027590054e-14,1.141969027590054e-14,1.141969027590054e-14,1.2599417843363287e-14,1.2599417843363287e-14,4.822874626551654e-13
0.001189172582425434,1.1230938008422504e-14,1.1230938008422504e-14,1.1230938008422504e-14,1.1230938008422504e-14,1.1922385693893023e-14,1.1922385693893023e-14,1.1922385693893023e-14,1.3154044795243697e-14,1.3154044795243697e-14,4.829176511782567e-13
0.0012006741459106851,1.1725324540823214e-14,1.1725324540823214e-14,1.1725324540823214e-14,1.1725324540823214e-14,1.2447209792888787e-14,1.2447209792888787e-14,1.2447209792888787e-14,1.3733086457214359e-14,1.3733086457214359e-14,4.835755806361172e-13
0.001212286951417961,1.2241473996608854e-14,1.2241473996608854e-14,1.2241473996608854e-14,1.2241473996608854e-14,1.2995136678688929e-14,1.2995136678688929e-14,1.2995136678688929e-14,1.4337617566207283e-14,1.4337617566207283e-14,4.842624721862795e-13
0.0012240120748694594,1.2780344380909548e-14,1.2780344380909548e-14,1.2780344380909548e-14,1.2780344380909548e-14,1.3567183337287805e-14,1.3567183337287805e-14,1.3567183337287805e-14,1.4968760169135906e-14,1.4968760169135906e-14,4.849796007417005e-13
0.0012358506025935947,1.3342935870295854e-14,1.3342935870295854e-14,1.3342935870295854e-14,1.3342935870295854e-14,1.4164411522461217e-14,1.4164411522461217e-14,1.4164411522461217e-14,1.5627685705482753e-14,1.5627685705482753e-14,4.85728297337078e-13
0.001247803631425646,1.393029266916808e-14,1.393029266916808e-14,1.393029266916808e-14,1.393029266916808e-14,1.47879297264468e-14,1.47879297264468e-14,1.47879297264468e-14,1.631561718156325e-14,1.631561718156325e-14,4.865099515993336e-13
0.0012598722688093784,1.4543504947863865e-14,1.4543504947863865e-14,1.4543504947863865e-14,1.4543504947863865e-14,1.5438895237373795e-14,1.5438895237373795e-14,1.5438895237373795e-14,1.703383144050068e-14,1.703383144050068e-14,4.87326014326845e-13
0.0012720576328996466,1.5183710866081293e-14,1.5183710866081293e-14,1.5183710866081293e-14,1.5183710866081293e-14,1.61185162872609e-14,1.61185162872609e-14,1.61185162872609e-14,1.7783661532125437e-14,1.7783661532125437e-14,4.881780001822172e-13
0.001284360852665993,1.5852098685373567e-14,1.5852098685373567e-14,1.5852098685373567e-14,1.5852098685373567e-14,1.6828054294569503e-14,1.6828054294569503e-14,1.6828054294569503e-14,1.8566499187197828e-14,1.8566499187197828e-14,4.890674905035902e-13
0.0012967830679972432,1.6549908974634926e-14,1.6549908974634926e-14,1.6549908974634926e-14,1.6549908974634926e-14,1.7568826205473276e-14,1.7568826205473276e-14,1.7568826205473276e-14,1.9383797400545238e-14,1.9383797400545238e-14,4.899961362396985e-13
0.0013093254298071233,1.7278436912673556e-14,1.7278436912673556e-14,1.7278436912673556e-14,1.7278436912673556e-14,1.8342206938192067e-14,1.8342206938192067e-14,1.8342206938192067e-14,2.0237073127910783e-14,2.0237073127910783e-14,4.909656610141346e-13
0.001321989100140882,1.8039034692142508e-14,1.8039034692142508e-14,1.8039034692142508e-14,1.8039034692142508e-14,1.9149631934924033e-14,1.9149631934924033e-14,1.9149631934924033e-14,2.112791010151573e-14,2.112791010151573e-14,4.919778643244999e-13
0.001334775252282961,1.8833114029292685e-14,1.8833114029292685e-14,1.8833114029292685e-14,1.8833114029292685e-14,1.99925998261149e-14,1.99925998261149e-14,1.99925998261149e-14,2.2057961769564232e-14,2.2057961769564232e-14,4.930346248823827e-13
0.0013476850708656958,1.966214878420489e-14,1.966214878420489e-14,1.966214878420489e-14,1.966214878420489e-14,2.0872675212008134e-14,2.0872675212008134e-14,2.0872675212008134e-14,2.302895436514472e-14,2.302895436514472e-14,4.941379041003629e-13
0.0013607197519790734,2.05276776963652e-14,2.05276776963652e-14,2.05276776963652e-14,2.05276776963652e-14,2.179149156663961e-14,2.179149156663961e-14,2.179149156663961e-14,2.4042690110225145e-14,2.4042690110225145e-14,4.952897497325145e-13
0.001373880503281548,2.1431307240659003e-14,2.1431307240659003e-14,2.1431307240659003e-14,2.1431307240659003e-14,2.2750754269664777e-14,2.2750754269664777e-14,2.2750754269664777e-14,2.510105056068655e-14,2.510105056068655e-14,4.964922996751617e-13
0.0013871685441119313,2.237471460908859e-14,2.237471460908859e-14,2.237471460908859e-14,2.237471460908859e-14,2.375224377164966e-14,2.375224377164966e-14,2.375224377164966e-14,2.6206000098608166e-14,2.6206000098608166e-14,4.977477859349482e-13
0.0014005851056023634,2.3359650823743606e-14,2.3359650823743606e-14,2.3359650823743606e-14,2.3359650823743606e-14,2.479781889869548e-14,2.479781889869548e-14,2.479781889869548e-14,2.7359589578280063e-14,2.7359589578280063e-14,4.990585387715769e-13
0.001414131430792377,2.4387943986806126e-14,2.4387943986806126e-14,2.4387943986806126e-14,2.4387943986806126e-14,2.5889420302534643e-14,2.5889420302534643e-14,2.5889420302534643e-14,2.856396013271536e-14,2.856396013271536e-14,5.00426991022916e-13
