AvgSa(0.4s) (g),DS1,DS2,DS3,DS4,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,4.211273613610758e-18,4.211273613610758e-18,4.211273613610758e-18,4.211273613610758e-18,4.48303803490811e-18,4.48303803490811e-18,4.48303803490811e-18,4.9863494366575276e-18,4.9863494366575276e-18,2.1790197348437994e-12
0.001009671904360419,4.422491583387851e-18,4.422491583387851e-18,4.422491583387851e-18,4.422491583387851e-18,4.707886448724401e-18,4.707886448724401e-18,4.707886448724401e-18,5.234471639374971e-18,5.234471639374971e-18,2.179020016867932e-12
0.001019437354454795,4.644303267762896e-18,4.644303267762896e-18,4.644303267762896e-18,4.644303267762896e-18,4.9440122170493345e-18,4.9440122170493345e-18,4.9440122170493345e-18,5.495038502003586e-18,5.495038502003586e-18,2.1790203130370877e-12
0.0010292972550485203,4.8772399983698916e-18,4.8772399983698916e-18,4.8772399983698916e-18,4.8772399983698916e-18,5.191980959726909e-18,5.191980959726909e-18,5.191980959726909e-18,5.768674191017182e-18,5.768674191017182e-18,2.1790206240607163e-12
0.0010392525196577912,5.121859755975217e-18,5.121859755975217e-18,5.121859755975217e-18,5.121859755975217e-18,5.452386665471212e-18,5.452386665471212e-18,5.452386665471212e-18,6.056034178187285e-18,6.056034178187285e-18,2.179020950683849e-12
0.0010493040706342459,5.378748507074996e-18,5.378748507074996e-18,5.378748507074996e-18,5.378748507074996e-18,5.725853114717889e-18,5.725853114717889e-18,5.725853114717889e-18,6.357806810712244e-18,6.357806810712244e-18,2.179021293688884e-12
0.0010594528392504174,5.648521607529445e-18,5.648521607529445e-18,5.648521607529445e-18,5.648521607529445e-18,6.013035373838648e-18,6.013035373838648e-18,6.013035373838648e-18,6.674714960096091e-18,6.674714960096091e-18,2.179021653897462e-12
0.0010696997657860217,5.931825276597261e-18,5.931825276597261e-18,5.931825276597261e-18,5.931825276597261e-18,6.314621364298927e-18,6.314621364298927e-18,6.314621364298927e-18,7.00751775372783e-18,7.00751775372783e-18,2.1790220321724335e-12
0.0010800457996150668,6.2293381449005106e-18,6.2293381449005106e-18,6.2293381449005106e-18,6.2293381449005106e-18,6.63133351051697e-18,6.63133351051697e-18,6.63133351051697e-18,7.357012393308411e-18,7.357012393308411e-18,2.1790224294199244e-12
0.001090491899293816,6.541772880028672e-18,6.541772880028672e-18,6.541772880028672e-18,6.541772880028672e-18,6.963930470372318e-18,6.963930470372318e-18,6.963930470372318e-18,7.724036064482095e-18,7.724036064482095e-18,2.1790228465915088e-12
0.0011010390326495973,6.869877893675028e-18,6.869877893675028e-18,6.869877893675028e-18,6.869877893675028e-18,7.313208952508152e-18,7.313208952508152e-18,7.313208952508152e-18,8.109467942245555e-18,8.109467942245555e-18,2.179023284686487e-12
0.0011116881768704725,7.214439134395371e-18,7.214439134395371e-18,7.214439134395371e-18,7.214439134395371e-18,7.680005624781371e-18,7.680005624781371e-18,7.680005624781371e-18,8.514231296939343e-18,8.514231296939343e-18,2.1790237447542785e-12
0.001122440318595772,7.576281970282885e-18,7.576281970282885e-18,7.576281970282885e-18,7.576281970282885e-18,8.065199118431358e-18,8.065199118431358e-18,8.065199118431358e-18,8.939295705865755e-18,8.939295705865755e-18,2.179024227896939e-12
0.0011332964540075085,7.95627316606977e-18,7.95627316606977e-18,7.95627316606977e-18,7.95627316606977e-18,8.469712132769132e-18,8.469712132769132e-18,8.469712132769132e-18,9.385679375831808e-18,9.385679375831808e-18,2.1790247352717964e-12
0.0011442575889226711,8.35532295939069e-18,8.35532295939069e-18,8.35532295939069e-18,8.35532295939069e-18,8.894513645427448e-18,8.894513645427448e-18,8.894513645427448e-18,9.854451582179686e-18,9.854451582179686e-18,2.1790252680942257e-12
0.0011553247388864148,8.774387241181925e-18,8.774387241181925e-18,8.774387241181925e-18,8.774387241181925e-18,9.340621233466776e-18,9.340621233466776e-18,9.340621233466776e-18,1.0346735230147607e-17,1.0346735230147607e-17,2.1790258276405587e-12
0.001166498929266149,9.214469845439776e-18,9.214469845439776e-18,9.214469845439776e-18,9.214469845439776e-18,9.809103510897755e-18,9.809103510897755e-18,9.809103510897755e-18,1.0863709544697285e-17,1.0863709544697285e-17,2.179026415251143e-12
