AvgSa(0.2s) (g),DS1,DS2,DS3,DS4,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,2.478387886044467e-10,2.478387886044467e-10,2.478387886044467e-10,2.478387886044467e-10,2.5400557490450383e-10,2.5400557490450383e-10,2.5400557490450383e-10,2.826785135770983e-10,2.826785135770983e-10,3.2562125884001845e-10
0.001009671904360419,2.541909277550973e-10,2.541909277550973e-10,2.541909277550973e-10,2.541909277550973e-10,2.605157695593015e-10,2.605157695593015e-10,2.605157695593015e-10,2.8992359923615726e-10,2.8992359923615726e-10,3.3396697236408786e-10
0.001019437354454795,2.607058730266376e-10,2.607058730266376e-10,2.607058730266376e-10,2.607058730266376e-10,2.6719282131732595e-10,2.6719282131732595e-10,2.6719282131732595e-10,2.9735437734678337e-10,2.9735437734678337e-10,3.4252658756953834e-10
0.0010292972550485203,2.6738779716030593e-10,2.6738779716030593e-10,2.6738779716030593e-10,2.6738779716030593e-10,2.740410067469993e-10,2.740410067469993e-10,2.740410067469993e-10,3.0497560722973155e-10,3.0497560722973155e-10,3.5130558678321164e-10
0.0010392525196577912,2.7424097984522024e-10,2.7424097984522024e-10,2.7424097984522024e-10,2.7424097984522024e-10,2.8106471202572696e-10,2.8106471202572696e-10,2.8106471202572696e-10,3.127921701877427e-10,3.127921701877427e-10,3.603095928446719e-10
0.0010493040706342459,2.8126981045946655e-10,2.8126981045946655e-10,2.8126981045946655e-10,2.8126981045946655e-10,2.8826843574919065e-10,2.8826843574919065e-10,2.8826843574919065e-10,3.208090726319583e-10,3.208090726319583e-10,3.695443727075652e-10
0.0010594528392504174,2.8847879088143617e-10,2.8847879088143617e-10,2.8847879088143617e-10,2.8847879088143617e-10,2.956567918126377e-10,2.956567918126377e-10,2.956567918126377e-10,3.2903144928845877e-10,3.2903144928845877e-10,3.7901584113327536e-10
0.0010696997657860217,2.958725383732333e-10,2.958725383732333e-10,2.958725383732333e-10,2.958725383732333e-10,3.0323451236603473e-10,3.0323451236603473e-10,3.0323451236603473e-10,3.3746456648700393e-10,3.3746456648700393e-10,3.8873006447926917e-10
0.0010800457996150668,3.0345578853796025e-10,3.0345578853796025e-10,3.0345578853796025e-10,3.0345578853796025e-10,3.1100645084493646e-10,3.1100645084493646e-10,3.1100645084493646e-10,3.4611382553403554e-10,3.4611382553403554e-10,3.986932645845043e-10
0.001090491899293816,3.112333983528226e-10,3.112333983528226e-10,3.112333983528226e-10,3.112333983528226e-10,3.189775850790616e-10,3.189775850790616e-10,3.189775850790616e-10,3.549847661721593e-10,3.549847661721593e-10,4.0891182275445377e-10
0.0011010390326495973,3.192103492799583e-10,3.192103492799583e-10,3.192103492799583e-10,3.192103492799583e-10,3.2715302048052593e-10,3.2715302048052593e-10,3.2715302048052593e-10,3.640830701282756e-10,3.640830701282756e-10,4.193922838482466e-10
0.0011116881768704725,3.2739175045700254e-10,3.2739175045700254e-10,3.2739175045700254e-10,3.2739175045700254e-10,3.3553799331379607e-10,3.3553799331379607e-10,3.3553799331379607e-10,3.734145647526552e-10,3.734145647526552e-10,4.301413604705689e-10
0.001122440318595772,3.3578284196942666e-10,3.3578284196942666e-10,3.3578284196942666e-10,3.3578284196942666e-10,3.4413787404945156e-10,3.4413787404945156e-10,3.4413787404945156e-10,3.829852267512848e-10,3.829852267512848e-10,4.4116593727100444e-10
0.0011332964540075085,3.4438899820674923e-10,3.4438899820674923e-10,3.4438899820674923e-10,3.4438899820674923e-10,3.529581708039054e-10,3.529581708039054e-10,3.529581708039054e-10,3.9280118601387417e-10,3.9280118601387417e-10,4.524730753535676e-10
0.0011442575889226711,3.5321573130476e-10,3.5321573130476e-10,3.5321573130476e-10,3.5321573130476e-10,3.620045328672791e-10,3.620045328672791e-10,3.620045328672791e-10,4.0286872953996837e-10,4.0286872953996837e-10,4.640700167992462e-10
0.0011553247388864148,3.622686946759822e-10,3.622686946759822e-10,3.622686946759822e-10,3.622686946759822e-10,3.7128275432171004e-10,3.7128275432171004e-10,3.7128275432171004e-10,4.131943054657008e-10,4.131943054657008e-10,4.759641893044745e-10
0.001166498929266149,3.715536866306072e-10,3.715536866306072e-10,3.715536866306072e-10,3.715536866306072e-10,3.807987777523837e-10,3.807987777523837e-10,3.807987777523837e-10,4.237845271937387e-10,4.237845271937387e-10,4.881632109384725e-10
0.0011777811953465423,3.8107665409024156e-10,3.8107665409024156e-10,3.8107665409024156e-10,3.8107665409024156e-10,3.9055869805368687e-10,3.9055869805368687e-10,3.9055869805368687e-10,4.346461776290862e-10,4.346461776290862e-10,5.006748950225267e-10
0.001189172582425434,3.90843696396836e-10,3.90843696396836e-10,3.90843696396836e-10,3.90843696396836e-10,4.005687663329113e-10,4.005687663329113e-10,4.005687663329113e-10,4.4578621352345067e-10,4.4578621352345067e-10,5.135072551343247e-10
0.0012006741459106851,4.008610692192379e-10,4.008610692192379e-10,4.008610692192379e-10,4.008610692192379e-10,4.1083539391401e-10,4.1083539391401e-10,4.1083539391401e-10,4.5721176993095517e-10,4.5721176993095517e-10,5.266685102405515e-10
0.001212286951417961,4.1113518855986885e-10,4.1113518855986885e-10,4.1113518855986885e-10,4.1113518855986885e-10,4.2136515644397015e-10,4.2136515644397015e-10,4.2136515644397015e-10,4.689301647780517e-10,4.689301647780517e-10,5.401670899610357e-10
0.0012240120748694594,4.216726348640967e-10,4.216726348640967e-10,4.216726348640967e-10,4.216726348640967e-10,4.321647981044352e-10,4.321647981044352e-10,4.321647981044352e-10,4.809489035505635e-10,4.809489035505635e-10,5.540116399678177e-10
0.0012358506025935947,4.324801572349213e-10,4.324801572349213e-10,4.324801572349213e-10,4.324801572349213e-10,4.4324123593126184e-10,4.4324123593126184e-10,4.4324123593126184e-10,4.932756841008489e-10,4.932756841008489e-10,5.682110275225863e-10
0.001247803631425646,4.435646777557012e-10,4.435646777557012e-10,4.435646777557012e-10,4.435646777557012e-10,4.546015642448055e-10,4.546015642448055e-10,4.546015642448055e-10,5.059184015781888e-10,5.059184015781888e-10,5.827743471560617e-10
0.0012598722688093784,4.5493329592365613e-10,4.5493329592365613e-10,4.5493329592365613e-10,4.5493329592365613e-10,4.662530591937388e-10,4.662530591937388e-10,4.662530591937388e-10,5.188851534855273e-10,5.188851534855273e-10,5.977109264929235e-10
0.0012720576328996466,4.66593293197001e-10,4.66593293197001e-10,4.66593293197001e-10,4.66593293197001e-10,4.782031834153276e-10,4.782031834153276e-10,4.782031834153276e-10,5.321842448658135e-10,5.321842448658135e-10,6.130303322260279e-10
0.001284360852665993,4.785521376586459e-10,4.785521376586459e-10,4.785521376586459e-10,4.785521376586459e-10,4.904595908151758e-10,4.904595908151758e-10,4.904595908151758e-10,5.458241936212985e-10,5.458241936212985e-10,6.287423762437807e-10
0.0012967830679972432,4.908174887993862e-10,4.908174887993862e-10,4.908174887993862e-10,4.908174887993862e-10,5.030301314694305e-10,5.030301314694305e-10,5.030301314694305e-10,5.598137359691171e-10,5.598137359691171e-10,6.448571219144951e-10
0.0013093254298071233,5.033972024237356e-10,5.033972024237356e-10,5.033972024237356e-10,5.033972024237356e-10,5.159228566526837e-10,5.159228566526837e-10,5.159228566526837e-10,5.741618320367548e-10,5.741618320367548e-10,6.613848905318881e-10
0.001321989100140882,5.162993356814541e-10,5.162993356814541e-10,5.162993356814541e-10,5.162993356814541e-10,5.291460239946966e-10,5.291460239946966e-10,5.291460239946966e-10,5.888776716008784e-10,5.888776716008784e-10,6.783362679257168e-10
0.001334775252282961,5.295321522280533e-10,5.295321522280533e-10,5.295321522280533e-10,5.295321522280533e-10,5.42708102769309e-10,5.42708102769309e-10,5.42708102769309e-10,6.039706799732747e-10,6.039706799732747e-10,6.957221112418731e-10
0.0013476850708656958,5.431041275175737e-10,5.431041275175737e-10,5.431041275175737e-10,5.431041275175737e-10,5.566177793189135e-10,5.566177793189135e-10,5.566177793189135e-10,6.194505240376558e-10,6.194505240376558e-10,7.13553555896262e-10
0.0013607197519790734,5.570239542310026e-10,5.570239542310026e-10,5.570239542310026e-10,5.570239542310026e-10,5.708839626179435e-10,5.708839626179435e-10,5.708839626179435e-10,6.353271184411712e-10,6.353271184411712e-10,7.318420227068893e-10
0.001373880503281548,5.713005478438191e-10,5.713005478438191e-10,5.713005478438191e-10,5.713005478438191e-10,5.855157899789527e-10,5.855157899789527e-10,5.855157899789527e-10,6.516106319446072e-10,6.516106319446072e-10,7.505992252087428e-10
0.0013871685441119313,5.859430523362646e-10,5.859430523362646e-10,5.859430523362646e-10,5.859430523362646e-10,6.005226329049698e-10,6.005226329049698e-10,6.005226329049698e-10,6.683114939353728e-10,6.683114939353728e-10,7.698371771561912e-10
0.0014005851056023634,6.009608460499317e-10,6.009608460499317e-10,6.009608460499317e-10,6.009608460499317e-10,6.159141030918107e-10,6.159141030918107e-10,6.159141030918107e-10,6.854404011073727e-10,6.854404011073727e-10,7.895682002176206e-10
0.001414131430792377,6.163635476944749e-10,6.163635476944749e-10,6.163635476944749e-10,6.163635476944749e-10,6.31700058584252e-10,6.31700058584252e-10,6.31700058584252e-10,7.030083243121082e-10,7.030083243121082e-10,8.098049318673116e-10
0.0014278087747440617,6.321610225082855e-10,6.321610225082855e-10,6.321610225082855e-10,6.321610225082855e-10,6.478906100899959e-10,6.478906100899959e-10,6.478906100899959e-10,7.210265155853823e-10,7.210265155853823e-10,8.305603334795974e-10
0.0014416184046583532,6.483633885770457e-10,6.483633885770457e-10,6.483633885770457e-10,6.483633885770457e-10,6.644961274554446e-10,6.644961274554446e-10,6.644961274554446e-10,7.395065153540792e-10,7.395065153540792e-10,8.518476986304517e-10
0.0014555615999924285,6.649810233142378e-10,6.649810233142378e-10,6.649810233142378e-10,6.649810233142378e-10,6.815272463074591e-10,6.815272463074591e-10,6.815272463074591e-10,7.584601598276655e-10,7.584601598276655e-10,8.736806616118613e-10
0.0014696396525782536,6.820245701077483e-10,6.820245701077483e-10,6.820245701077483e-10,6.820245701077483e-10,6.989948748653456e-10,6.989948748653456e-10,6.989948748653456e-10,7.778995885791357e-10,7.778995885791357e-10,8.960732061644189e-10
0.0014838538667422698,6.99504945136825e-10,6.99504945136825e-10,6.99504945136825e-10,6.99504945136825e-10,7.169102009274342e-10,7.169102009274342e-10,7.169102009274342e-10,7.978372523202564e-10,7.978372523202564e-10,9.19039674433736e-10
0.001498205559426239,7.174333443637537e-10,7.174333443637537e-10,7.174333443637537e-10,7.174333443637537e-10,7.352846990367239e-10,7.352846990367239e-10,7.352846990367239e-10,8.18285920876092e-10,8.18285920876092e-10,9.425947761564062e-10
0.0015126960603092574,7.358212507047353e-10,7.358212507047353e-10,7.358212507047353e-10,7.358212507047353e-10,7.541301378301868e-10,7.541301378301868e-10,7.541301378301868e-10,8.392586913639216e-10,8.392586913639216e-10,9.66753598081414e-10
0.0015273267119309511,7.546804413845394e-10,7.546804413845394e-10,7.546804413845394e-10,7.546804413845394e-10,7.734585875764232e-10,7.734585875764232e-10,7.734585875764232e-10,8.607689965817674e-10,8.607689965817674e-10,9.915316136329933e-10
0.0015420988698158604,7.740229954796853e-10,7.740229954796853e-10,7.740229954796853e-10,7.740229954796853e-10,7.932824279065332e-10,7.932824279065332e-10,7.932824279065332e-10,8.828306136119512e-10,8.828306136119512e-10,1.016944692821184e-09
0.0015570139025990295,7.938613016549334e-10,7.938613016549334e-10,7.938613016549334e-10,7.938613016549334e-10,8.136143557431089e-10,8.136143557431089e-10,8.136143557431089e-10,9.05457672645136e-10,9.05457672645136e-10,1.0430091124063652e-09
0.00157207319215281,8.142080660980578e-10,8.142080660980578e-10,8.142080660980578e-10,8.142080660980578e-10,8.344673934324429e-10,8.344673934324429e-10,8.344673934324429e-10,9.286646660305242e-10,9.286646660305242e-10,1.0697415663243028e-09
0.001587278133714889,8.350763206580295e-10,8.350763206580295e-10,8.350763206580295e-10,8.350763206580295e-10,8.558548970852073e-10,8.558548970852073e-10,8.558548970852073e-10,9.524664575580564e-10,9.524664575580564e-10,1.0971591763784422e-09
0.0016026301360175636,8.564794311917252e-10,8.564794311917252e-10,8.564794311917252e-10,8.564794311917252e-10,8.777905651308474e-10,8.777905651308474e-10,8.777905651308474e-10,9.768782919784536e-10,9.768782919784536e-10,1.125279503206175e-09
0.0016181306214182506,8.784311061246057e-10,8.784311061246057e-10,8.784311061246057e-10,8.784311061246057e-10,9.002884470912692e-10,9.002884470912692e-10,9.002884470912692e-10,1.0019158047673044e-09,1.0019158047673044e-09,1.154120557526225e-09
0.0016337810260312732,9.009454052307918e-10,9.009454052307918e-10,9.009454052307918e-10,9.009454052307918e-10,9.233629525793832e-10,9.233629525793832e-10,9.233629525793832e-10,1.0275950321393933e-09,1.0275950321393933e-09,1.1837008116742893e-09
0.0016495827998609148,9.240367486381611e-10,9.240367486381611e-10,9.240367486381611e-10,9.240367486381611e-10,9.470288605282682e-10,9.470288605282682e-10,9.470288605282682e-10,1.0539324213196808e-09,1.0539324213196808e-09,1.214039211434323e-09
0.0016655374069357617,9.477199260642802e-10,9.477199260642802e-10,9.477199260642802e-10,9.477199260642802e-10,9.713013286569144e-10,9.713013286569144e-10,9.713013286569144e-10,1.0809448410775688e-09,1.0809448410775688e-09,1.2451551881731019e-09
0.0016816463254443446,9.720101062890239e-10,9.720101062890239e-10,9.720101062890239e-10,9.720101062890239e-10,9.96195903178542e-10,9.96195903178542e-10,9.96195903178542e-10,1.1086495925311246e-09,1.1086495925311246e-09,1.2770686712857578e-09
0.0016979110478720922,9.969228468699748e-10,9.969228468699748e-10,9.969228468699748e-10,9.969228468699748e-10,1.0217285287577435e-09,1.0217285287577435e-09,1.0217285287577435e-09,1.137064420228216e-09,1.137064420228216e-09,1.309800100960289e-09
0.0017143330811396097,1.0224741041068849e-09,1.0224741041068849e-09,1.0224741041068849e-09,1.0224741041068849e-09,1.0479155587228814e-09,1.0479155587228814e-09,1.0479155587228814e-09,1.1662075235117169e-09,1.1662075235117169e-09,1.343370441269296e-09
0.0017309139467422943,1.0486802432614362e-09,1.0486802432614362e-09,1.0486802432614362e-09,1.0486802432614362e-09,1.0747737655401408e-09,1.0747737655401408e-09,1.0747737655401408e-09,1.1960975681759021e-09,1.1960975681759021e-09,1.3778011935971443e-09
0.0017476551808912994,1.0755580490390216e-09,1.0755580490390216e-09,1.0755580490390216e-09,1.0755580490390216e-09,1.1023203515561196e-09,1.1023203515561196e-09,1.1023203515561196e-09,1.2267536984216956e-09,1.2267536984216956e-09,1.4131144104113769e-09
0.0017645583346558708,1.1031247363391404e-09,1.1031247363391404e-09,1.1031247363391404e-09,1.1031247363391404e-09,1.1305729600157194e-09,1.1305729600157194e-09,1.1305729600157194e-09,1.2581955491182955e-09,1.2581955491182955e-09,1.449332709387049e-09
0.0017816249741070423,1.131397961281293e-09,1.131397961281293e-09,1.131397961281293e-09,1.131397961281293e-09,1.1595496863623877e-09,1.1595496863623877e-09,1.1595496863623877e-09,1.2904432583790209e-09,1.2904432583790209e-09,1.4864792878930177e-09
0.0017988566804627395,1.1603958325135422e-09,1.1603958325135422e-09,1.1603958325135422e-09,1.1603958325135422e-09,1.1892690898280625e-09,1.1892690898280625e-09,1.1892690898280625e-09,1.3235174804595674e-09,1.3235174804595674e-09,1.5245779378496204e-09
0.0018162550502342758,1.1901369228108577e-09,1.1901369228108577e-09,1.1901369228108577e-09,1.1901369228108577e-09,1.2197502053201094e-09,1.2197502053201094e-09,1.2197502053201094e-09,1.357439398986777e-09,1.357439398986777e-09,1.5636530609670753e-09
0.0018338216953742697,1.2206402809707503e-09,1.2206402809707503e-09,1.2206402809707503e-09,1.2206402809707503e-09,1.2510125556129461e-09,1.2510125556129461e-09,1.2510125556129461e-09,1.3922307405264922e-09,1.3922307405264922e-09,1.6037296843744787e-09
0.001851558243425991,1.2519254440137932e-09,1.2519254440137932e-09,1.2519254440137932e-09,1.2519254440137932e-09,1.28307616385214e-09,1.28307616385214e-09,1.28307616385214e-09,1.4279137884991536e-09,1.4279137884991536e-09,1.6448334766493734e-09
