AvgSa(0.2s) (g),DS1,DS2,DS3,DS4,DS2|DS1,DS3|DS1,DS4|DS1,DS3|DS2,DS4|DS2,DS4|DS3
0.001,3.181073285401865e-15,3.181073285401865e-15,3.181073285401865e-15,3.181073285401865e-15,3.2813243264259074e-15,3.2813243264259074e-15,3.2813243264259074e-15,3.683447865670351e-15,3.683447865670351e-15,4.307651387014891e-15
0.001009671904360419,3.3089179758553127e-15,3.3089179758553127e-15,3.3089179758553127e-15,3.3089179758553127e-15,3.4131980228649037e-15,3.4131980228649037e-15,3.4131980228649037e-15,3.831482572808055e-15,3.831482572808055e-15,4.480772314684657e-15
0.001019437354454795,3.4419006381222804e-15,3.4419006381222804e-15,3.4419006381222804e-15,3.4419006381222804e-15,3.5503716135180844e-15,3.5503716135180844e-15,3.5503716135180844e-15,3.985466671742935e-15,3.985466671742935e-15,4.6608508284969745e-15
0.0010292972550485203,3.5802277630180144e-15,3.5802277630180144e-15,3.5802277630180144e-15,3.5802277630180144e-15,3.693058096727346e-15,3.693058096727346e-15,3.693058096727346e-15,4.1456392635847285e-15,4.1456392635847285e-15,4.848166548054066e-15
0.0010392525196577912,3.724114140051939e-15,3.724114140051939e-15,3.724114140051939e-15,3.724114140051939e-15,3.841479031060854e-15,3.841479031060854e-15,3.841479031060854e-15,4.312249058717975e-15,4.312249058717975e-15,5.043010330637474e-15
0.0010493040706342459,3.873783190945275e-15,3.873783190945275e-15,3.873783190945275e-15,3.873783190945275e-15,3.99586487934141e-15,3.99586487934141e-15,3.99586487934141e-15,4.485554762990777e-15,4.485554762990777e-15,5.245684722841059e-15
0.0010594528392504174,4.029467316552461e-15,4.029467316552461e-15,4.029467316552461e-15,4.029467316552461e-15,4.156455366501051e-15,4.156455366501051e-15,4.156455366501051e-15,4.665825479424177e-15,4.665825479424177e-15,5.456504430354735e-15
0.0010696997657860217,4.191408257725042e-15,4.191408257725042e-15,4.191408257725042e-15,4.191408257725042e-15,4.323499851817512e-15,4.323499851817512e-15,4.323499851817512e-15,4.853341126065884e-15,4.853341126065884e-15,5.675796806628437e-15
0.0010800457996150668,4.359857470678395e-15,4.359857470678395e-15,4.359857470678395e-15,4.359857470678395e-15,4.4972577161105714e-15,4.4972577161105714e-15,4.4972577161105714e-15,5.048392870637211e-15,5.048392870637211e-15,5.903902361175071e-15
0.001090491899293816,4.53507651744412e-15,4.53507651744412e-15,4.53507651744412e-15,4.53507651744412e-15,4.6779987644994955e-15,4.6779987644994955e-15,4.6779987644994955e-15,5.251283582648102e-15,5.251283582648102e-15,6.141175288301757e-15
0.0011010390326495973,4.717337472014394e-15,4.717337472014394e-15,4.717337472014394e-15,4.717337472014394e-15,4.8660036453469654e-15,4.8660036453469654e-15,4.8660036453469654e-15,5.46232830368228e-15,5.46232830368228e-15,6.387984017090321e-15
0.0011116881768704725,4.906923342808924e-15,4.906923342808924e-15,4.906923342808924e-15,4.906923342808924e-15,5.061564286040013e-15,5.061564286040013e-15,5.061564286040013e-15,5.681854736582785e-15,5.681854736582785e-15,6.644711783481063e-15
0.001122440318595772,5.104128512120498e-15,5.104128512120498e-15,5.104128512120498e-15,5.104128512120498e-15,5.264984346284638e-15,5.264984346284638e-15,5.264984346284638e-15,5.9102037542974505e-15,5.9102037542974505e-15,6.9117572253480815e-15
0.0011332964540075085,5.309259193221491e-15,5.309259193221491e-15,5.309259193221491e-15,5.309259193221491e-15,5.47657968961794e-15,5.47657968961794e-15,5.47657968961794e-15,6.147729929174464e-15,6.147729929174464e-15,7.18953500149019e-15
0.0011442575889226711,5.522633905841094e-15,5.522633905841094e-15,5.522633905841094e-15,5.522633905841094e-15,5.696678873869959e-15,5.696678873869959e-15,5.696678873869959e-15,6.3948020835298805e-15,6.3948020835298805e-15,7.47847643549856e-15
